stateId,cx,cy,overallRank,overallColor,econRank,eduRank,healthRank,famcommRank,stateName
MA,660.00,185.25,1,#DAE6EF,13,1,2,8,Massachusetts
VT,630.00,133.50,2,#D5E2ED,8,3,6,3,Vermont
IA,330.00,237.00,3,#D1DFEB,3,13,1,7,Iowa
NH,690.00,133.50,4,#CCDCE9,12,4,13,1,New Hampshire
MN,300.00,185.25,5,#C8D9E7,4,6,17,5,Minnesota
ND,240.00,185.25,6,#C3D6E5,1,19,23,4,North Dakota
CT,690.00,237.00,7,#BFD3E3,15,5,8,9,Connecticut
NJ,630.00,237.00,8,#BAD0E1,16,2,19,10,New Jersey
VA,510.00,340.50,9,#B6CDDF,11,10,11,12,Virginia
NE,300.00,288.75,10,#B1CADE,5,9,24,20,Nebraska
UT,270.00,340.50,11,#ADC7DC,10,29,4,2,Utah
MD,540.00,288.75,12,#A9C4DA,14,8,14,19,Maryland
WI,360.00,185.25,13,#A4C1D8,9,15,10,18,Wisconsin
ME,720.00,81.75,14,#A0BED6,29,14,3,6,Maine
KS,330.00,340.50,15,#9BBBD4,7,12,21,25,Kansas
PA,570.00,237.00,16,#97B8D2,17,7,25,23,Pennsylvania
SD,270.00,237.00,17,#92B5D0,2,32,33,24,South Dakota
WA,120.00,185.25,18,#8EB2CF,27,20,9,17,Washington
WY,210.00,237.00,19,#89AFCD,6,24,45,16,Wyoming
IL,390.00,237.00,20,#85ACCB,21,17,12,28,Illinois
ID,150.00,237.00,21,#81A9C9,20,33,20,11,Idaho
CO,240.00,288.75,22,#7CA6C7,18,11,39,21,Colorado
DE,600.00,288.75,23,#78A3C5,23,23,16,26,Delaware
OH,510.00,237.00,24,#73A0C3,22,16,18,30,Ohio
HI,60.00,495.75,25,#6F9DC1,33,31,22,13,Hawaii
RI,720.00,185.25,26,#6A9AC0,26,25,15,32,Rhode Island
IN,450.00,237.00,27,#6697BE,19,26,27,31,Indiana
NY,600.00,185.25,28,#6194BC,37,18,5,34,New York
MO,360.00,288.75,29,#5D91BA,24,22,30,27,Missouri
OR,120.00,288.75,30,#588EB8,40,35,7,22,Oregon
MT,180.00,185.25,31,#548BB6,25,21,50,14,Montana
MI,480.00,185.25,32,#5088B4,34,38,29,29,Michigan
AK,60.00,81.75,33,#4B85B2,31,42,46,15,Alaska
NC,570.00,340.50,34,#4782B1,38,28,32,36,North Carolina
KY,420.00,288.75,35,#427FAF,35,30,28,40,Kentucky
TN,450.00,340.50,36,#3E7CAD,36,37,31,37,Tennessee
WV,480.00,288.75,37,#3979AB,28,46,35,33,West Virginia
FL,540.00,495.75,38,#3576A9,45,27,37,35,Florida
OK,300.00,392.25,39,#3073A7,30,41,41,38,Oklahoma
CA,150.00,340.50,40,#2C70A5,48,39,26,43,California
AR,390.00,340.50,41,#286DA3,42,36,34,45,Arkansas
GA,510.00,444.00,42,#236AA2,44,40,38,39,Georgia
TX,270.00,444.00,43,#1F67A0,32,34,40,47,Texas
AL,480.00,392.25,44,#1A649E,39,45,36,42,Alabama
SC,540.00,392.25,45,#16619C,41,43,43,41,South Carolina
AZ,210.00,340.50,46,#115E9A,46,44,44,46,Arizona
LA,360.00,392.25,47,#0D5B98,43,47,42,48,Louisiana
NV,180.00,288.75,48,#085896,47,50,47,44,Nevada
NM,240.00,392.25,49,#045594,49,49,49,49,New Mexico
MS,420.00,392.25,50,#005293,50,48,48,50,Mississippi
